error,timestamp,query,companyUrl,companyName,jobTitle,jobLocation,postedAt,appliesClosedAt,jobDescription,jobId,workplaceType,jobPosterProfileUrl,jobPosterName,companyLogoUrl,applyUrl,experienceLevel,applicantsCount,viewsCount,companyStaffCount,companyDescription,jobIndustries,jobFunctions,remoteAllowed,jobState,jobType
Invalid input,2023-03-04T03:54:49.445Z,jobUrl,,,,,,,,,,,,,,,,,,,,,,,
,2023-03-04T03:54:52.117Z,https://www.linkedin.com/jobs/view/3507134222/,https://www.linkedin.com/company/sgi_autofund,SGI,Claims Technical Analyst,"Saskatchewan, Canada",2023-03-03T22:03:12.000Z,2023-04-02T22:03:11.000Z,"Work should be so much more than just a job you do to earn a paycheque. And at SGI, it is!
We offer the essentials – a competitive salary, great pension, and excellent employer-paid family benefits. But we also provide opportunities. The opportunity to do work that makes a difference in your community. The opportunity to expand your professional skills and grow your career. And the opportunity to come to work every day to a job you’re passionate about and that leaves you feeling happy and fulfilled.
Now that we’ve (hopefully!) sparked your interest, here’s some good news: we’re hiring!
We’re looking for a Claims Technical Analyst with strong data analytics background and reporting skills.
Do you like analyzing data and manipulating it in such a way it tells a narrative or shows a trend? We hope you consider applying if you:
Enjoy working with data, and manipulate it in such a way you are able to see trendsThink logically and understand the impacts of decisions through dataAre able to review processes and look for efficiencies or automationLike creating dashboards and data reports understandWant to leverage your leadership skills for good – like actively supporting SGI’s culture, expanding your own learning and supporting your colleagues as they do the same.
The skills for this position are gained through the completion of a four-year degree from an accredited post-secondary education institution in a relevant field of study such as Business or Mathematics & Applied Sciences, and 3 - 5 years experience in a business analytical role (e.g., performing analysis of business problems/data to identify solutions/trends). But we don’t want you to worry about checking every box! We know the confidence gap and imposter syndrome can get in the way, so please don't hesitate to apply.
What else do we offer?Our website (https://sgi.sk.ca/starthere) gives a run-down of the many perks of working with us, including:
Work-life balance: How does an extra 10 days of rest in addition to your annual vacation sound?Personal development: We invest in our employees. We provide leadership and employee training, and provide education funding, to support your self-improvement goals and keep our teams thriving.A positive, healthy work culture: Work culture can be the reason an employee stays or leaves a job. At SGI, we’ve worked hard to develop a culture we’re proud of. And we continue to invest in our culture through training to make sure that our actions (and culture) reflect our corporate values: caring, passion, innovation, and integrity.Awesome people: Seriously. We hire the best people, and you get to work with them. At SGI, you’ll find the work family you didn’t know you needed.
We strive to be the kind of employer that employees recommend to a friend. We want our employees to want to come to work, and we look forward to your application!
To learn more about this position, check out the full job description on https://sgi.sk.ca/careers There, you’ll find all requirement and accountabilities in greater detail.
Remember, the position closes March 17, so submit your application online by 11:59 p.m. SK time",3507134222,Hybrid,https://www.linkedin.com/in/moyosore-dosunmu,Moyosore Dosunmu,https://media.licdn.com/dms/image/C4D0BAQEdo24qxTKwqg/company-logo_400_400/0/1656599463711?e=1686182400&v=beta&t=PeTvjjnzGPxIedzTvFMysQ6NLA9vZvUud-PZ8zyA3dg,https://sgico.wd10.myworkdayjobs.com/en-US/sgi/details/Claims-Technical-Analyst--no-posting-required-_R3518?source=Linkedin,Associate,4,38,1215,"The Saskatchewan Auto Fund is the province's compulsory auto insurance program, operating the driver licensing and vehicle registration system. 

Facebook: @SGIcommunity Twitter: @SGItweets Instagram: @SGIphotos

Regina is the home of SGI's corporate head office along with the Regina Operations Centre (ROC). We operate 21 claims centres and 5 salvage centres across 13 Saskatchewan communities.",Insurance,Analyst,false,LISTED,Full-time
,2023-03-04T03:54:58.493Z,https://www.linkedin.com/jobs/view/3496896875/,https://www.linkedin.com/company/saskatchewan-workers%27%E2%80%8B-compensation-board,Saskatchewan Workers'​ Compensation Board,Programmer Analyst - Business Intelligence,"Regina, SK",2023-02-28T16:36:44.000Z,2023-03-30T16:36:44.000Z,"Programmer Analyst - Business IntelligenceRegina Head OfficePermanent Appointment
Job Summary:
WCB is currently recruiting for the position of Programmer Analyst - Business Intelligence. In this role you will be accountable to analyze, design, program, test, implement, and document the development of and enhancements to Workers’ Compensation Boards information systems to meet user requirements and support business operations. You will also provide reports and information for decision support, and continuously strive to provide excellent customer service to other ITS staff, internal business partners and external employers, injured workers and healthcare providers in Saskatchewan.
Qualifications:
University degree in a Computer Science or related discipline from an accredited University with a minimum of three years’ experience in computer programming.
OR
Two-year diploma in Computer Science from an accredited post-secondary education institution with a minimum of five years’ experience in computer programming.


Applications: It is the responsibility of the applicant to ensure that the application is received through the online application system prior to close. Each application must include a cover letter explaining how each qualification is met and an updated resume.
The Saskatchewan Workers' Compensation Board is committed to achieving a representative workforce. Members of designated groups (women, aboriginal people, people with disabilities and visible minorities) are encouraged to apply.

Application Deadline: March 12, 2023",3496896875,On-site,,,https://media.licdn.com/dms/image/C560BAQEfZz7oczdVxg/company-logo_400_400/0/1548705586079?e=1686182400&v=beta&t=Y3qsiU1asfVeT4SwizjUWWR1oRl7hAVU7ANTION76LM,https://tre.tbe.taleo.net/tre01/ats/careers/v2/viewRequisition?org=WCBSASK2&cws=38&rid=2091&source=LinkedIn&src=LinkedIn&gns=LinkedIn,Associate,44,289,235,"Workers’ compensation insurance is a provincial responsibility. Each Canadian province and territory has its own workers’ compensation legislation. All compensation systems are based on an historic compromise dating back 100 years. In that compromise, employers agree to cover the costs of workers’ compensation insurance and benefits, and in return receive protection from civil law suits when an injury occurs. In return for giving up their right to sue an employer if they were hurt on the job, workers receive a guarantee of benefits – including wage loss.

We operate like an insurance company. We protect registered employers from lawsuits when a workplace injury happens and we provide guaranteed benefits and programs to injured workers in industries covered by the Act. Our costs are funded entirely by premiums paid by employers in covered industries. The premiums are based on injury frequency and costs. Any injured worker in an industry covered by the Act can claim benefits and programs. Any employer in an industry covered by the Act must register with us and pay invoiced premiums.

We see the effects of workplace injuries every day and believe that even one injury is too many. That’s why we are leaders in promoting workplace safety and injury prevention.","Insurance, Information Technology & Services, Internet",Information Technology,false,LISTED,Full-time
,2023-03-04T03:55:05.276Z,https://www.linkedin.com/jobs/view/3505657550/,https://www.linkedin.com/company/insightrix-research,Insightrix Research,Data Analyst,"Regina, SK",2023-03-01T03:40:41.000Z,2023-03-31T03:40:41.000Z,"Closing Date (MM/DD/YYYY)
03/16/2023
Worker Type
Permanent
Language(s) Required
English
Term Duration (in Months)
Collaborative analyst with database expertise needed:
Lead the way in planning and executing projects that solve problems for Enterprise Risk Management. You’ll collaborate with specialists and strategists to enhance, maintain and increase efficiency of existing tactics.
What You’ll Do
Gather and structure data, create reports, create and run models, monitor key organizational indicators, perform trend analysis, and make recommendations within one or more subject areasScrutinize data with analytical tools and programming languagesAnalyze data quality, maintain data, and cleanse data
What We’re Looking For
Analytical thinker who can transform data into useable informationCreative thinker with proven research, analytical and problem solving skillsStrong communicator, who loves to solve problems with dataRelationship-builder who uses collaboration to find the best solutions
What You’ll Need
A bachelor’s degree in agriculture, finance, business, economics, mathematics, statistics, or computer science and at least three years of experience (or an equivalent combination of education and experience)Advanced working knowledge of data manipulation and management tools
#FCCEN",3505657550,Hybrid,,,,https://fccfac.wd3.myworkdayjobs.com/en-US/careers-carrieres/job/Regina-Saskatchewan/Data-Analyst_R-1004777?source=Linkedin,Entry level,76,265,1984,"FCC is a federal Crown corporation and the only lender 100% invested in Canadian agriculture and food. With 100 offices across the country (and our headquarters in Regina), we’ve built a culture of teamwork, leadership and respect.

We offer financing, insurance, software, learning programs, and other business services to producers, agribusiness owners and agri-food entrepreneurs across the country.

FCC is one of Canada’s 50 Best Employers. Here, diverse people pull together to achieve challenging and rewarding goals. Learn and grow in an environment of acceptance and accountability. We want our employees to succeed, and our culture helps them do it.",Financial Services,Information Technology,false,LISTED,Full-time
,2023-03-04T03:55:11.613Z,https://www.linkedin.com/jobs/view/3507013039/,https://www.linkedin.com/company/alimentiv,Alimentiv,Statistician,Canada,2023-03-01T21:08:09.000Z,2023-03-31T21:08:09.000Z,"JOB LOCATION: Canada
JOB SALARY: $73,000-$121,000 + bonus

JOB TITLE: Statistician
JOB REPORTS TO: Manager, Statistics
DEPARTMENT/UNIT NAME: Data Sciences > Medical R&D Statistics & Programming
JOB SUMMARY:
Responsible for the application of biostatistical methods to support clinical trials and data management, including statistical planning, design, analysis, and reporting throughout the project life cycle in accordance with project, organizational and regulatory standards. Act as subject matter expert, providing statistical support to project teams, quality/study auditors, and external stakeholders. Participate in the promotion of Alimentiv as a global research organization, by contributing to the development, publishing, and reporting of project data.
ROLE & RESPONSIBILITIES:
Analysis Services
Carry out statistical analyses and provide direction to programmers, using standard software packages to interpret and translate results within a statistical framework into biomedical terms and prepare statistical data results for inclusion in reports and research papers that meet trial, organizational and regulatory best practices, and standards.
Academic Research Support
Working in conjunction with the Director of Academic Research, convert and present new and novel biometrical trial technologies, processes and findings into publishable and promotable scientific processes and results.
Project Support
Provide statistical expertise and guidance based on established methodologies throughout the project life cycle in the areas of study policies, protocols, implementation timelines and processes, data interpretation and publication of results. Work with data management team to ensure data captured incorporates and corresponds to project protocols and requirements.
Statistical Analysis/Data Collection Planning
Prepare statistical analysis plan and oversee project data collection, management, and analysis with input from the project teams that incorporates the type of information collected, sample size, randomization procedures, table and listing shells, project statistical policies, protocols, and methodology to be used to appropriately translate scientific questions into statistical hypotheses.
Study Report Support
Assist medical director(s) and/or technical writers by preparing statistical section of study report, publications and/or presentations ensuring statistical analyses adheres to trial, sponsor, organizational and regulatory requirements, and best practices.
QUALIFICATIONS:
The ideal candidate will possess a minimum of an undergraduate degree (advanced degrees preferred) in Epidemiology/Statistics/Public Health or a related field of study and 1-3 years of relevant experience working with health data.

WORKING CONDITIONS:
Home-based
*Accommodations for job applicants with disabilities are available upon request",3507013039,Remote,,,https://media.licdn.com/dms/image/C560BAQFCzSLJaZLAeQ/company-logo_400_400/0/1657219388047?e=1686182400&v=beta&t=itve6KlZABVde2HYoQLhLRFqw6fU9zO17p81bQdwkfQ,https://alimentiv.bamboohr.com/careers/1357,Entry level,148,730,485,"From 1986 to 2020 we operated as Robarts Clinical Trials and built a strong foundation in the medical research community.  In 2020, we became Alimentiv but retained our commitment to clinical trials, medical imaging, and precision medicine for GI-related ailments.  ",Pharmaceuticals,"Research, Analyst, Information Technology",true,LISTED,Full-time
,2023-03-04T03:55:18.180Z,https://www.linkedin.com/jobs/view/3509346924/,https://www.linkedin.com/company/cic-canada-jobs,CIC CANADA JOBS,Data Analyst Jobs in Canada (NOC 21223) *Jobs In-Demand*,"Regina, Saskatchewan, Canada",2023-03-02T21:05:11.000Z,2023-04-01T21:05:11.000Z,"Master data management, including creation, updates, and deletion.  User and user role management  Assure the quality of imported data, working with quality assurance analysts as needed.  Data set commissioning and decommissioning.  Processing confidential data and information by policies.  Assisting with the creation of reports and analyses.  The reporting environment must be managed and designed, including data sources, security, and metadata.  Aiding the data warehouse in the identification and revision of reporting requirements.  Supporting data integrity and normalization initiatives.  Testing, implementing new or upgraded software, and assisting with strategic decisions on new systems are all part of the job.  Reporting database environment and report troubleshooting  Changes and updates to source production systems are being evaluated.  End-user education on new reports and dashboards.  Technical expertise in data storage structures, data mining, and data cleansing is provided. 
Requirements
 Bachelors degree in computer science from an accredited university or college.  Experience as a data analyst or in a related field is required.  Capability to collaborate with stakeholders to evaluate potential risks.  Ability to analyze existing tools and databases and recommend software solutions.  Capacity to communicate business requirements in non-technical, lay terms.  Extensive knowledge of methodologies and processes for managing large-scale databases.  Experience with large data sets and relational databases is required.  Knowledge of addressing and metadata standards.  Excellent written and verbal communication skills are required. 
Benefits Terms Of Employment
 Full time  Permanent Position  40 hours per week  Work Location will be in Regina 
Required Years of Experience: 1 to 3 years

Do follow us on our social media platforms for more job updates.

We are a Canadian Immigration, Recruitment & Settlement company based in Canada with multiple branches across the globe. We help our clients who have decided to take the plunge and relocate to the land of opportunities by offering services related to the scope of employment and education. We at GTR Worldwide ensure that we provide visa consultancy services in Canada in the best way to make immigrants feel at home. We assist a wide range of clients and agents worldwide and work to build their strengths and confidence to help them flourish in the country.

Facebook LinkedIn Instagram

 Disclaimer: The job postings published by GTR Worldwide on this website are for future openings. Postings are based on jobs in Canada’s demand for the coming years. Due to high volumes of applications received, this website cannot guarantee if any positions are still open and employment to everyone applying for the jobs.

GTR Worldwide is not responsible for wages, working conditions, safety, or other aspects of employment. Every candidate is responsible for researching the organization and making wise decisions before accepting any position or offer.

For your safety and security, it is advised not to share your banking information on the website. We will not post jobs that appear to discriminate against applicants. If you have any concerns, call us on our toll-free number (1855-477-9797) or via email at info@gtrworldwide.com .

",3509346924,On-site,,,https://media.licdn.com/dms/image/C4D0BAQHRCAGE_J7wJQ/company-logo_400_400/0/1647042208065?e=1686182400&v=beta&t=I_n4GbA5F7dqGFtOB7anFfMjvlaoxJVBvsDwG4bGPvE,https://gtrworldwide.zohorecruit.com/jobs/Careers/666209000003195348/Data-Analyst-Jobs-in-Canada-NOC-21223-Jobs-In-Demand?source=LinkedIn+Limited+Listings&embedsource=LinkedIn%2BLimited%2BListings,Associate,64,189,18,"Job Consultants in Regina and Saskatoon - Saskatchewan, Mississauga-Ontario, Abbotsford-BC, Edmonton and Calgary- Alberta. 
Call us at 306-500-1704 for suitable position or write us at info@ciccanadajobs.com",Government Administration,Information Technology,false,LISTED,Full-time
,2023-03-04T03:55:24.459Z,https://www.linkedin.com/jobs/view/3505610505/,https://www.linkedin.com/company/fcc-fac,FCC / FAC,Analyste des données,"Regina, SK",2023-03-01T00:09:56.000Z,2023-03-31T00:09:57.000Z,"Date De Clôture (mm/jj/aaaa)
03/16/2023
Type De Travailleur
Permanent
Langue(s) Requise(s)
anglais
Durée Déterminée (en Mois)
Expertise en matière de base de données et esprit de collaboration requis
Vous montrerez la voie lors de la planification et de l’exécution de projets permettant de résoudre des problèmes pour la Gestion du risque d’entreprise. Vous collaborerez avec des spécialistes et des stratèges afin d’améliorer, de maintenir et d’accroître l’efficience des tactiques existantes.
Ce Que Vous Ferez
Recueillir et structurer des données, créer des rapports, créer et produire des modèles, surveiller les indicateurs organisationnels clés, analyser les tendances et faire des recommandations dans un ou plusieurs domainesExaminer soigneusement des données au moyen d’outils d’analyse et de langages de programmationAnalyser la qualité des données et procéder à la maintenance et au nettoyage des données
Ce Que Nous Recherchons
Pensée analytique et capacité de transformer les données en information utilisableCréativité et compétences avérées en recherche, analyse et résolution de problèmesFacilité à établir des relations et capacité de collaborer afin de trouver les meilleures solutions
Ce Qu’il Vous Faut
Baccalauréat en agriculture, en finances, en administration des affaires, en économie, en mathématique, en statistique ou en informatique, ainsi qu’au moins trois années d’expérience (ou un agencement équivalent d’études et d’expérience)Connaissance pratique avancée des outils de manipulation et de gestion des données
#FACFR",3505610505,On-site,,,https://media.licdn.com/dms/image/C4D0BAQEVjAbUuOW3DA/company-logo_400_400/0/1543509855143?e=1686182400&v=beta&t=Nwg8luDPJdEa_qxVIB42yEB3awojxWoISTbhn1P2o-g,https://fccfac.wd3.myworkdayjobs.com/fr-CA/careers-carrieres/job/Regina-Saskatchewan/Data-Analyst_R-1004777,Entry level,7,22,1984,"FCC is a federal Crown corporation and the only lender 100% invested in Canadian agriculture and food. With 100 offices across the country (and our headquarters in Regina), we’ve built a culture of teamwork, leadership and respect.

We offer financing, insurance, software, learning programs, and other business services to producers, agribusiness owners and agri-food entrepreneurs across the country.

FCC is one of Canada’s 50 Best Employers. Here, diverse people pull together to achieve challenging and rewarding goals. Learn and grow in an environment of acceptance and accountability. We want our employees to succeed, and our culture helps them do it.",Financial Services,Information Technology,false,LISTED,Full-time
,2023-03-04T03:55:27.984Z,https://www.linkedin.com/jobs/view/3507414219/,https://www.linkedin.com/company/cgi,CGI,Data Analyst,"Edmonton, AB",2023-03-02T01:36:14.000Z,2023-04-01T01:36:14.000Z,"Position Description
Are you ready to join an outstanding culture that cares about diversity and inclusion, corporate social responsibility and gives the freedom to innovate, influence decisions, and chart an exciting career?
CGI is more than just an IT consulting company; be part of a team that supports the local community with the ability draw on global best-in-class talent. CGI is looking for a Data Analyst for its expanding team to assist our clients with their analytics journey. Benefits include a share purchase program, profit sharing, wellness credits, training and development programs, and flexible work schedules and locations.
The responsibilities and requirements that follow provide insight into what a Member at CGI will typically experience in this role and the characteristics they have that lead to success. We are looking for candidates that have a similar mix of experience and qualifications. These are individuals who have a passion to create value for clients by helping them unlock the value in their data assets.
Your future duties and responsibilities
 Solve some of the most challenging and impactful problems using your data expertise, and ability to communicate compelling insight through data visualizations, reports and dashboards Help create the platform, tools and APIs necessary to enable other teams to work with data Efficiently handle vast amounts of data from multiple sources and destinations, including relational and NoSQL databases as well as external systems, both in batch processing and real-time delivery Work on high priority initiatives using advanced analytics, predictive modeling and data from a variety of data sources to produce actionable business insights Provide guidance to a customer and project team with respect to technical feasibility, complexity, and level of effort required to deliver a solution Work closely with other team members to further develop metrics, KPIs, and insights that measure business performance improvements Assist in the development and delivery of pre and post sales POCs, presentations and proposals for client engagements
Required Qualifications To Be Successful In This Role
 Experience doing data analysis, reporting and advanced analytical modeling Hands on experience in deploying reporting and analytical solutions to on premise and cloud-based infrastructure Hands-on experience writing complex SQL queries and working with relational databases such as Oracle, DB2, SQL Server, etc. Hands-on experience with data reporting and visualization tools like Power BI, Tableau, Qlik…etc. Experience with modern software development techniques and methodologies: DevOps, Agile, etc. Knowledge and practice of secure software development processes
Attributes
 Up-to-date with the latest technology trends and have a strong desire to constantly learn Highly detailed-oriented with exceptional organizational and follow-through skills Self-starter and able to execute without a lot of direction or oversight - demonstrable problem-solving skills Value teamwork and urgency, with a passion for driving impact Ability to handle multiple priorities and deadlines Exceptional communication skills, with an ability to make technical concepts accessible and understandable to non-technical business users Analytical curiosity, strong data-oriented skills and a statistical programming background
Education
 Bachelor's degree in mathematics, business, statistics, economics, computer science or information systems (or equivalent combination of skill and experience)
Insights you can act on
While technology is at the heart of our clients’ digital transformation, we understand that people are at the heart of business success.
When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees ""members"" because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today — one of the world’s largest independent providers of IT and business consulting services.
At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.
Ready to become part of our success story? Join CGI — where your ideas and actions make a difference.
",3507414219,,https://www.linkedin.com/in/anastasiia-potapova-cphr-5a8a0aa2,"Anastasiia Potapova, CPHR",https://media.licdn.com/dms/image/C4E0BAQErzXWSFkn9tQ/company-logo_400_400/0/1663664110409?e=1686182400&v=beta&t=81IrRiQrSt_b7R59SmkO41jxKLrTjrQzD3ImVPUatbs,https://cgi.njoyn.com/corp/xweb/xweb.asp?clid=21001&page=jobdetails&jobid=J0223-1637&BRID=1041155&SBDID=943,Entry level,145,640,63534,"Insights you can act on

Founded in 1976, CGI is among the largest IT and business consulting services firms in the world. We are insights-driven and outcomes-based to help accelerate returns on your investments. Across 21 industries in 400 locations worldwide, we provide comprehensive, scalable and sustainable IT and business consulting services that are informed globally and delivered locally.

We value your opinions and welcome your comments and questions on our posts here on LinkedIn. Please keep a polite, professional and constructive tone. We remove comments containing objectionable language and derogatory views. We do not allow content that is unrelated to the subject, and we remove discriminatory and racist comments as well as spam and advertising. 

Note that content on this page contains general information regarding CGI’s services and initiatives and should not be considered direct business advice. To engage in a discussion with one of our experts, please contact us directly at info@cgi.com.",Information Technology & Services,Information Technology,false,LISTED,Full-time
,2023-03-04T03:55:34.364Z,https://www.linkedin.com/jobs/view/3509357389/,https://www.linkedin.com/company/alberta-blue-cross,Alberta Blue Cross,Data Scientist – Analytics,Greater Edmonton Metropolitan Area,2023-03-02T21:38:02.000Z,2023-04-01T21:38:02.000Z,"Alberta Blue Cross® is an Alberta based organization dedicated to delivering exceptional customer experience and community leadership. We’re committed to providing the best health coverage to over 1.8 million members and take an active role in promoting wellness. We believe in what we do—and place trust in our employees to deliver our vision.

Working at Alberta Blue Cross® means having a career where you’ll be recognized for your contributions. We value diversity, encourage our employees to maintain a healthy work-life balance and provide opportunities for career growth.

OVERVIEW:

Reporting to the Manager of Analytics, Alberta Blue Cross is seeking a Data Scientist supporting the development and implementation of the organization’s Data Analytics strategy. This position will be part of a team whose purpose will be to advance the impact that data and analytics will have on the business as well as support and foster a data driven culture. In return this individual will experience a dynamic, highly engaged and fast-paced organization that is committed to your success.

As a Data Scientist, you will play a critical role in the delivery of our enterprise data analytics strategy and development of machine learning capabilities. You will partner with internal stakeholders to drive the adoption of advanced analytics across the business. The ideal candidate thrives on challenge, is unfazed by complexity and persists in the face of ambiguity. She/he will be highly curious, results-oriented, self-driven and possess an acute sense of business opportunity.

WHAT YOU WILL DO:
Participate in problem solving initiatives, collaborating within a cross functional team of specialists, to design innovative solutions for clients and business leadersParticipate in the wrangling of data, especially with regard to the more practical aspects like quality assurance, cleaning, aggregation and integrationApply data science expertise including descriptive, predictive, machine learning, deep learning and AI techniques to generate new insights and solve business problems.Demonstrate creative problem solving and ability to translate data patterns into business insights, cause/effect relationships and variables to amplify predictive power of underlying modelsMake business recommendations with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information

WHAT YOU WILL HAVE:
Bachelor’s, Master’s or Doctoral degree in computing science, statistics, mathematics, engineering, or a related field in which advanced statistical methods are used.5+ years of quantitative analysis experience, including handling, manipulating and analyzing data and creating analytical reportsAbility to visualize results in ways that make complicated relationships clear.Comfortable using one or more statistical programming languages (i.e., Python/R/SAS) to work with large data sets and relational databases. Familiarity with any of the following tools is a plus: Microstrategy or Power BIFamiliarity with Azure technologies and Databricks is preferred.Strong written and verbal communication skills.Ability to work effectively as an autonomous data scientist on a small project, and to collaborate with an interdisciplinary group on larger projects.Disciplined curiosity, consistent with the best traditions of science.Previous success in the construction of production-grade predictive models.Deep knowledge and experience of the algorithms and techniques of modern data science especially as they pertain to business and experimentation

This position will remain open until a suitable candidate is selected.

Alberta Blue Cross® is an inclusive employer committed to a workplace that reflects the diversity of the communities we serve. We empower and are advocates for our employees by welcoming, respecting and valuing their unique perspectives, backgrounds, and experiences.

We offer a competitive salary and benefits package and the opportunity to work in an innovative, high-energy team-focused environment. If you have the qualifications we are looking for, please apply.",3509357389,On-site,,,https://media.licdn.com/dms/image/C560BAQE1osQGCNZyFg/company-logo_400_400/0/1643304139474?e=1686182400&v=beta&t=l1UNJ67z4e4LONq6KJKSayextHpLn1cowl5_FCNvEGU,https://abbluecross.wd3.myworkdayjobs.com/careers/job/Edmonton/Data-Scientist---Analytics_R130,Entry level,63,336,1005,"We believe that people, workplaces and communities deserve to be and live well—and we can help. As a benefits provider and wellness leader, we have the opportunity to play an important role in fostering the health and well-being of our customers across their lifetimes.

We provide benefits to more than 1.8 million Albertans through group, government and individual plans. Alberta-based, not-for-profit, wellness-driven, customer committed.

Living our values
Our values represent who we are, what we stand for and the culture that guides us. In all we do, we keep our values at the forefront.

Integrity and trust

We are respectful, ethical, honest and inclusive in all that we do.

Wellness and flexibility

We promote and inspire a healthy culture of support, adaptability and compassion across our workplace and our communities.

Customer committed

We are accountable and committed to our customers and passionate in the delivery of an exceptional customer experience.

Empowering potential

We support learning and growth while fostering a diverse environment that cultivates collaboration and innovation.
",Insurance,"Engineering, Information Technology",false,LISTED,Full-time
,2023-03-04T03:55:40.755Z,https://www.linkedin.com/jobs/view/3505692912/,https://www.linkedin.com/company/hootsuite,Hootsuite,Data Analyst,"Edmonton, AB",2023-03-01T04:02:04.000Z,2023-03-31T04:02:04.000Z,"We’re looking for an inquisitive data savvy individual who thrives uncovering how data should be leveraged in a holistic manner to promote action to improve our business outcomes. As an ambassador for data across the organization you will work to develop, build and visualize insights from our data and guide our key stakeholders in disseminating those insights.

WHAT YOU’LL DO:

Identify patterns and trends within our data assets using a data-driven approach to improve performance and impact to overall business outcomes.Collaborate effectively with multiple stakeholders on multiple projects in parallel, manage expectations and prioritizationDevelop existing data sources to ensure accuracy of reporting on measures and metrics Recommend new data sources and assets to continually provide accurate and reliable measures of our customer outcomes.Operationalize data assets to a data warehouse and ensure versioning via GitHub Develop and maintain documentation on data, metrics and processes in ConfluenceProvide actionable insights and analysis that drive results, inform strategies and maximize opportunities for the business.Develop specifications, proposals and standard processes to manage large complex data sets to enable and enhance complex analysis and provide insights to the business. Undertake complex analysis, involving extracting, transforming, and disseminating key insights in a simple and concise manner for business stakeholders to understand and drive action.Build dashboards and reports using Tableau or equivalent Business Intelligence (BI) toolsetEducate business stakeholders on best practices to ensure they leverage accurate and reliable data and insights.Present data and insights in a clear and concise manner through the use of visuals, slide decks, and in unconventional ways. #thinkdifferentPromote data literacy at various organization levels to increase the correct use of data for operational reporting, dashboards and predictive analytics.Contribute to the further development of a centre of excellence for data by participating and contributing on initiatives to improve overall data maturity of the organization.Working with a diverse group of stakeholders and engage with them to better understand the needs and translate them into the best solutions with our data platform and tooling.Perform other related duties as assigned

WHAT YOU’LL NEED:

Proven work experience analyzing data and developing advanced dashboardsDegree in computer science, data analytics, statistics or a related field Advanced querying with SQL and databaseUnderstanding of AWS platform and tools associated with analytics and data (Redshift, Glue)Strong understanding of agile methodologiesUses the available tools of modern data science to analyze petabytes of data is a plusAbility to analyze data and create compelling visual dashboards with Tableau, MixpanelAbility to leverage the power of SQL, R or Python in building reproducible and scalable analyses.Familiarity with R or Python is a plusAdvanced skills with spreadsheet software (Google Sheets and/ Microsoft Excel, etc.)Priority Setting: focuses time/energy on the most important issues/opportunities. Clearly understand how to assess the importance of tasks and decisionsCollaboration and Teamwork: works with others to deliver results, meaningfully contributing to the team and prioritizing group needs over individual needsCommitment to Results: consistently achieves results, demonstrating high performance, and challenging self and others to deliver resultsProblem Solving: uses an organized and logical approach to find solutions to complex problems. Looks beyond the obvious to understand the root cause of problemsOpen Communication: clearly conveys thoughts, both written and verbally, listening attentively and asking questions for clarification and understanding

WHO YOU ARE:

Tenacious. You are determined to succeed, and you are motivated by the success of customers, colleagues and the community.Curious. You are always learning and seeking ways to make things better.Conscientious. You keep your promises, taking your commitments to others seriously, and you have strong integrity.Humble. You lead with humility and empathy, respecting and learning from the perspectives of others.

In all we do, our six guiding principles light the way:

Step Up: Show the world what it looks like to live and work by these guiding principles. #StepUp

One Team: Make Hootsuite a place where everyone feels safe, welcome, valued, and empowered to do their best work without compromising who they are. #OneTeam #FreeToBeMe

Customer Obsessed: Focus relentlessly on helping our customers succeed. #CustomerObsessed

Go Fast, Be Agile: Widen our competitive advantage by committing to speed and simplicity over perfection and complexity. #GoFastBeAgile

Play to Win: Commit to building an incredible, profitable company for our customers, our employees, and our stakeholders. #PlayToWin #NoExcuses

Neighbours & Allies: Give back to our communities and be an ally. #SocialForGood #Allies

Accommodations will be provided as requested by candidates taking part in all aspects of the selection process.

",3505692912,,,,https://media.licdn.com/dms/image/C4E0BAQHcA9BFHlVlqA/company-logo_400_400/0/1657641701731?e=1686182400&v=beta&t=pdNR6bFwMpqvP-NgJErVPPgoRjPWaiw_SY91LEl3R64,https://www.linkedin.com/job-apply/3505692912,Entry level,518,1553,1395,"Too many brands suck at social. Yours doesn’t have to.

It starts with the right tools. Thousands of brands rely on Hootsuite’s platform and solutions to launch brilliant social campaigns, deliver 5-star social commerce experiences, and manage all their customer conversations in one place.

But tools won’t get you far without the right expertise. Hootsuite Academy has helped thousands of professionals and organizations master new social media skills with free online education and paid certifications in social media marketing, social selling, and the Hootsuite platform.

Find the Hootsuite plan that’s right for you at hootsuite.com/plans, or get started today with free platform training at hootsuite.com/education ",Marketing & Advertising,Information Technology,false,LISTED,Full-time
