jobUrl,jobId,companyName,companyUrl,jobTitle,logoUrl,location,workplaceType,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp,isRemote
https://www.linkedin.com/jobs/view/3333574691/,3333574691,CN,https://www.linkedin.com/company/307460/,Analyste Exploitation des données,https://media-exp1.licdn.com/dms/image/C560BAQHsLxjupCIwow/company-logo_100_100/0/1613748322897?e=1678320000&v=beta&t=rLgEsbUjyxW-8Si5-ypdi1mHLMG7oFSCAuCGlhrAmPY,"Ottawa, ON",On-site,1 company alumnus works here,,false,true,13,https://www.linkedin.com/jobs/view/3333574691/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.892Z,
https://www.linkedin.com/jobs/view/3368318779/,3368318779,Agoda,https://www.linkedin.com/company/66719/,"Senior Data Analyst, Partner Development – (Statistics/ML/BI) (Bangkok-based, relocation provided)",https://media-exp1.licdn.com/dms/image/C4D0BAQGBa_7QNZNwpw/company-logo_100_100/0/1656643826125?e=1678320000&v=beta&t=dx_CgcGBBssM8fW2gYklB5713oEflFTmN8cYwZdrzmQ,"Vancouver, BC",,Actively recruiting,,false,true,1,https://www.linkedin.com/jobs/view/3368318779/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.892Z,
https://www.linkedin.com/jobs/view/3327891315/,3327891315,iA Financial Group (Industrial Alliance),https://www.linkedin.com/company/19136/,Analyste en intelligence d'affaires,https://media-exp1.licdn.com/dms/image/C4D0BAQGdx0U2pvqZBA/company-logo_100_100/0/1519856553409?e=1678320000&v=beta&t=8wmVIPzLseRzlys8V4yPqpsIqZAsydtqpc92FYOZjJk,"Québec, QC",Hybrid,Actively recruiting,,false,true,0,https://www.linkedin.com/jobs/view/3327891315/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.892Z,
https://www.linkedin.com/jobs/view/3366347623/,3366347623,Point S Canada,https://www.linkedin.com/company/2221070/,Analyste de données,https://media-exp1.licdn.com/dms/image/C4E0BAQHJed9EHsn-Hg/company-logo_100_100/0/1584019406090?e=1678320000&v=beta&t=Jnyv1UxHl9AO1akcE0bySmEKXLJwd2wg6k1c-1o9IIs,"Boucherville, QC",On-site,Actively recruiting,,true,true,0,https://www.linkedin.com/jobs/view/3366347623/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.892Z,
https://www.linkedin.com/jobs/view/3385841439/,3385841439,BRP,https://www.linkedin.com/company/10580/,Logistics Data Analyst,https://media-exp1.licdn.com/dms/image/C560BAQHmqBJXjEyd4w/company-logo_100_100/0/1634679401721?e=1678320000&v=beta&t=gImZFpObhAp5zzxQCx9A7wYTY7n6Wg5IRZeXHooofdQ,"Valcourt, QC",On-site,Actively recruiting,2022-12-03,false,false,0,https://www.linkedin.com/jobs/view/3385841439/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.892Z,
https://www.linkedin.com/jobs/view/3322489093/,3322489093,Societe Generale,https://www.linkedin.com/company/1691/,Quantitative Analyst,https://media-exp1.licdn.com/dms/image/C4E0BAQEGbq0lpQiZXA/company-logo_100_100/0/1625071140848?e=1678320000&v=beta&t=BQiLf1cbgN9FjWfwuxJNvkWHrMo0a0yl10nA16RPxyA,"Greater Montreal, QC",Hybrid,1 connection works here,,false,true,0,https://www.linkedin.com/jobs/view/3322489093/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.892Z,
https://www.linkedin.com/jobs/view/3383279341/,3383279341,Digital Research Alliance of Canada | Alliance de recherche numérique du Canada,https://www.linkedin.com/company/43367543/,Cybersecurity Data Analyst,https://media-exp1.licdn.com/dms/image/C4D0BAQHUbRv4QbPR0A/company-logo_100_100/0/1632946973173?e=1678320000&v=beta&t=YBeB0dHMAnKVuYEGclWK746p2FbdEfANQeVErX7KlJI,Canada,Remote,,,false,true,0,https://www.linkedin.com/jobs/view/3383279341/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.892Z,true
https://www.linkedin.com/jobs/view/3313591666/,3313591666,ADP,https://www.linkedin.com/company/1463/,Sr. Data Insights & Analytics Consultant,https://media-exp1.licdn.com/dms/image/C560BAQECpaUY68_v0w/company-logo_100_100/0/1656691478514?e=1678320000&v=beta&t=N8CGLdE90go0bsqznZHs0Rc9MtVo3T4XQ36aSyjfKII,"Etobicoke, ON",Hybrid,Actively recruiting,,false,true,0,https://www.linkedin.com/jobs/view/3313591666/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.893Z,
https://www.linkedin.com/jobs/view/3354972120/,3354972120,Mastronardi Produce,https://www.linkedin.com/company/154312/,Data and Analytics Analyst (On-Site),https://media-exp1.licdn.com/dms/image/C510BAQHD87kp3rtDeg/company-logo_100_100/0/1519912058879?e=1678320000&v=beta&t=VA4cqDhnqMwKRg4BoGAduU0IPUiodOiYzERjqgRdy5Y,"Kingsville, ON",On-site,Actively recruiting,,true,true,0,https://www.linkedin.com/jobs/view/3354972120/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.893Z,
https://www.linkedin.com/jobs/view/3357029586/,3357029586,Trans Mountain,https://www.linkedin.com/company/3122385/,"Data Analyst, Expansion Project (Term Role)",https://media-exp1.licdn.com/dms/image/C560BAQGpnoeuHguCIQ/company-logo_100_100/0/1536169089127?e=1678320000&v=beta&t=f1P3Tdpj7XIkAqvqyyE1UHgqaRleCZ6-XqpOysNHxUA,"Calgary, AB",On-site,2 alumni work here,,false,true,0,https://www.linkedin.com/jobs/view/3357029586/,https://www.linkedin.com/jobs/search/?currentJobId=3333574691&f_E=1%2C2%2C3&f_T=340&geoId=101174742&keywords=data%20analyst&sortBy=R,Jobs,2022-12-03T23:43:22.893Z,
