Title,Company,Location,ExtractDate,Description,JobType,Remote,data_analyst,python,powerbi,tableau,r,bigquery,azure,googlesheets,aws,sql,excel,java,scala,postal
Master Data Analyst,Robert Half,"Calgary, AB",2022-06-22,"Our fast paced client in Calgary is currently seeking a Master Data Analyst to join their task-oriented team for a contract opportunity. 

 As the Master Data Analyst your day to day responsibilities of this contract role may include, but not be limited to: 

 Working through AFE job buckets 
Maintaining master records 
Ensuring all accurate information is entered 
Maintaining list of approved requesters 
Maintaining and updating process manual 
Assisting with document workflows 
Ad hoc duties as required 

 Put your talents to the test as a Master Data Analyst with our client. The successful Master Data Analyst will possess the following: 

 1+ years of previous experience in a similar role 
Prior JDE experience 
Intermediate to advanced Excel skills 
Strong communication skills 
Ability to pick up quickly 
Ability to work in a fast-paced environment 
Excellent attention to detail 
Available to start immediately 

 To be considered for this contract role, click the “Apply Now!” link or by using the Robert Half Mobile app. Download it on the App Store or get it on Google Play! For assistance with applying, please call Robert Half at 
403-269-5387. Please reference 05000-0012331990 in all correspondence regarding this opportunity. 

 Robert Half would like to thank all applicants for their expressed interest however, only those candidates identified for interview will be contacted. 

 Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles. 

 Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more. 

 Questions? Call your local office at 1.888.490.3195. All applicants applying for Canadian job openings must be authorized to work in Canada. 

 © 2022 Robert Half. Québec permit number AP-2000503. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use .","Temporary, Fixed term contract",,True,,,,,,,,,,excel,,,AB
Clinical Data Analyst - Blood Gas Specialist,Adecco Canada,"Ottawa, ON",2022-06-22,"Adecco is currently hiring for a temporary, full-time Clinical Data Analyst - Blood Gas Specialist in Ottawa, ON to work for our client. In this role, you will be responsible for most aspects of data management activities in support of assigned clinical studies and ensures that quality of services meets internal and external customer requirements. If you have a bachelors degree and previous experience in an engineering role and laboratory setting, this job is for you!
 
 Location: Ottawa, ON


Shifts: Monday to Friday | 8AM - 5PM


Job type: Temporary | Full time

 Responsibilities:

 Review, identification and presentation of clinical data outliers, trends, and patterns


Assist the study team with finding probable and assignable cause to unexpected data observations


Provide input on the design of case report forms for the collection of clinical trial data


Assist with the database validation checks based on an understanding of the therapeutic area of interest


Contribute to the creation of training materials in the area of expertiseProven decision-making skills and ability to prioritize


Ability to form and develop professional relationships; display socially and professionally appropriate behavior


Other duties as assigned

 Required Education and Experience:

 Bachelor's Degree in Health, Clinical, or Biological Sciences


3-5 years of experience in a clinical laboratory setting


Excellent Communications skills, both oral and written


Good computing skills (mainly MS office)


Experience in Medical Technology and/or as a Blood Gas Technician is preferred


Must be legally eligible to work in Canada

 Here's why you should apply: 

Hires fast, pays weekly


4% vacation pay paid out on each weekly pay cheque


Medical and dental benefits once qualified


Free training programs


New and quicker onboarding proces
 Don't miss out on this Clinical Data Analyst - Blood Gas Specialist job in Ottawa, ON. Apply now and you will hear back from an Adecco Recruiter soon.
 
 To find out more about Adecco Perks and what we can do for you please visit the link here: https://www.adecco.ca/en-ca/working-with-a-staffing-agency/adecco-perks/ 
 
 To find out more about Adecco Perks and how it can benefit you as an associate please visit the link here: https://www.adecco.ca/en-ca/working-with-a-staffing-agency/adecco-perks/ 
 
 CAAP1956
 
 @@j",Fixed term contract,,True,,,,,,,,,,excel,,,ON
Clinical Data Analyst - Blood Gas,MaxSys Staffing & Consulting,"Ottawa, ON",2022-06-22,"Clinical Data Analyst – Blood Gas Specialist 


  In this role you will support of all data management activities including start-up, maintenance, and completion activities. Provide subject matter expert input into data collection, handling, and validation in order to deliver a high-quality database for statistical analysis. 
 


WHAT YOU’LL DO: 


Review, identification and presentation of clinical data outliers, trends, and patterns 
Assist the study team with finding probable and assignable cause to unexpected data observations 
Provide input on the design of case report forms for the collection of clinical trial data 
Assist with the database validation checks based on an understanding of the therapeutic area of interest 
Contribute to the creation of training materials in the area of expertise 
Proven decision-making skills and ability to prioritize 
Ability to form and develop professional relationships; display socially and professionally appropriate behavior 


EDUCATION AND EXPERIENCE, YOU’LL BRING 


Required: 


Bachelor’s Degree in Health, Clinical, or Biological Sciences 
3-5 years of experience in a clinical laboratory setting 
Excellent Communications skills, both oral and written 
Good computing skills (mainly MS office) 


Preferred: 


Medical Technology, Blood Gas Technician 




  To apply please email your resume to 
   a.valencia@maxsys.ca 
  
 Pour postuler, veuillez envoyer votre CV à 
   a.valencia@maxsys.ca 
  
 Only qualified candidates may be contacted about this role. 
  
 #GOVT",Fixed term contract,,True,,,,,,,,,,excel,,,ON
Data Analyst Mentor,AzureHR,"Vancouver, BC",2022-06-23,"Job Description: 

Prepare, administer, and grade assignments and exams in a timely manner to inform students about their progress.
Prepare feedbacks on students projects and code with students on project bases.
Assist in the provision of technical/knowledge support and daily supervision of students as required or assigned.
Supporting the administrative functions of the college to enhance the student experience.
Demonstrate flexibility in meeting the college’s and students’ changing requirements as conditions may require over time.
Participate in the assessment, implementation, and evaluation of the college’s quality improvement procedures as required.


Monitoring and reviewing students during practicum and/or clinical placements, as program requires.
Delivering instruction occasionally that meets module and program objectives when necessary.
Perform other duties as assigned by the Management Team.

Education and Experience: 

Diploma or certificate from a recognized College in a relevant discipline.
1 year of practical, real-world experience as Data Analysts, Data Scientist, or similar in North America.
A credential in adult education or in progress from an accredited post-secondary institution an asset but not required.
Current membership/license with relevant regulatory body preferred.

Skills and Abilities: 

has expertise in Google Sheets and/or Excel, and SQL, and has expertise in using Python for data wrangling, exploratory data analysis, predictive modeling, statistics, supervised machine learning, and data visualization.
Advanced oral and written communication skills, including presentation and group facilitation in English.
Ability to work cooperatively with instructors and other staff.
Time-management and punctuality.

Job Type: Part-time
Salary: From $25.00 per hour
Schedule:

Monday to Friday
On call
Weekend availability

Experience:

SQL: 1 year (preferred)",,,True,python,,,,,,googlesheets,,sql,excel,,,BC
HR Data Analyst/BI Developer,Manulife,"Waterloo, ON",2022-06-23,"Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders? You’ve come to the right place. We’re looking for ambitious people who share our values and want to make every day better for people around the world. If this sounds like you, and the career below sounds exciting, we’d like to hear from you. 















Working Arrangement 













Hybrid 
 
Job Description 
Working as part of the Workforce Insights team the HR Data Analyst/Bi Developer will be responsible for creating reports, visualizations, dashboards, and applications to support global people analytics aligned with Manulife’s strategic initiatives. This role will support data management, data classification, data optimization, deployment of advanced insights solutions, enhancing HR data and reporting processes, and the development of consumer grade people data solutions. 

Duties/Responsibilities: 

Collects, connects, and models core people data from a variety of sources such as the human resource information system, voice of the employee platforms, labour market intelligence, and learning and development systems. 
Leverages existing technology to provide solutions in the space of operational and advanced people analytics. 
Leverages Microsoft Power BI to build and develop a consumer grade analytics interaction layer. 
Responsible for quality assurance and enhancements for new and existing dashboards and analytics solutions. 
Collaborates with teams to develop data governance and security models to support privacy, and data utilization. 
Analyzes data and statistics for trends and patterns on topics such as talent acquisition, talent management, attrition & retention, and learning. 
Support requirements building and implementation of new data technology and subsequent data solutions. 
Supports training on Microsoft Power BI built solutions and platforms 
Performs other duties as assigned. 


Required Skills/Abilities: 

Post-secondary education in Data Analytics, Data Engineering, or Computer Science 
Core knowledge of report development, data storage, and data modelling concepts 
Experience working with large and complex data sets 
3-5 years of applied Business Intelligence experience, preferably Microsoft PowerBi 
HCD/DesignThink background or certification considered an asset 
Knowledge of Azure or Amazon technologies such as Databricks, Synapse, or Redshift considered an asset 
Basic knowledge/understanding of product management considered an asset 
Experience leveraging SQL, DAX, Python, R language, and BI tools to develop meaning 
Experience implementing complex analysis and machine learning 
Proficient with Microsoft Office Suite or related software. 
Proficient with or the ability to quickly learn the organizations HRIS, payroll, and similar employee management data sources. 


Every career at Manulife/John Hancock provides the opportunity to learn new skills and move your career forward. Ready to make an impact somewhere? What are you waiting for? Apply today. 

About John Hancock and Manulife 

John Hancock is a unit of Manulife Financial Corporation, a leading international financial services group that helps people make their decisions easier and lives better. We operate primarily as John Hancock in the United States, and Manulife globally, including Canada, Asia and Europe. We provide financial advice, insurance and wealth and asset management solutions for individuals, groups and institutions. Assets under management and administration by Manulife and its subsidiaries were CAD$1.3 trillion (US$1.1 trillion) as of June 30, 2021. Manulife Financial Corporation trades as MFC on the TSX, NYSE, and PSE, and under 945 on the SEHK. Manulife can be found at manulife.com . 

One of the largest life insurers in the United States, John Hancock supports more than 10 million Americans with a broad range of financial products, including life insurance , annuities , investments , 401(k) plans , and education savings plans . Additional information about John Hancock may be found at johnhancock.com . 

Manulife is an Equal Opportunity Employer 

At Manulife /John Hancock , we embrace our diversity. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, colour , ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law. 

It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process . All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Manulife/John Hancock policies . To request a reasonable accommodation in the application process, contact recruitment@manulife.com .",Full-time,,True,python,powerbi,,r,,azure,,aws,sql,,,,ON
"Data Analyst, Financial Crime Risk",Neo Financial,"Calgary, AB",2022-06-23,"Overview: 
 
   At Neo, we’re reimagining everyday financial services from the ground up and shaping the financial future for millions of people in Canada. We’re a tech company consistently pushing for the next best thing, which provides many opportunities to grow and learn personally and professionally. Ready to materialize your passion into a connected purpose? Come join a high-speed startup in a community of high-achieving dreamers and doers, set on innovating the best solutions.
 


 Risk Analytics @ Neo



 Neo’s Credit Risk team works hard to enable a high growth portfolio with sound risk management principles while optimizing credit decisioning across the customer lifecycle. This team of high-performers leads the development and implementation of key credit risk strategies to effectively manage the lending portfolio inline with our business objectives.
 


 The Role



 Neo is looking for a data driven individual with strong knowledge of advanced analytical techniques to join our team in our Calgary headquarters. Leveraging your knack for data and a strong statistical foundation, you’ll make an immediate impact via development and deployment of advanced analytical techniques across our credit and fraud decisioning projects. You’ll be contributing to our innovative, strategic, and high-performance team with a mission to improve the financial experience for all Canadians.
  What you'll be doing:: 
 
Develop reporting capabilities to actively monitor performance, and identify trends to enable strategic business decisions
 Analyze risk profiles across the financial crimes vectors, leveraging advanced analytics and machine learning to best identify exposure/opportunities
 Analyze key business metrics including true positive rates, false positive rates, portfolio fraud rates
 Collaborate with key stakeholders across the organization to integrate foundational risk practices
 Who we're looking for:: 
 
1-3 years experience in data analytics; experience in risk management,fraud analytics, AML analytics considered an asset
 Strong knowledge of SQL, R and Python
 Data-driven, eager to understand the numbers and provide meaningful insights
 Strong written and verbal communication skills; able to adapt communication to different audiences
 Self-starter, highly focused; driven to achieve business objectives
 Self-organized, ability to prioritize effectively
 Able to collaborate with others, engage stakeholders purposefully


 About applying with us:: 
 
   At Neo, you’ll be working with industry-leading technology that changes the way we live and realize a better financial future. It’s a serious deal, but that doesn’t mean we don’t know a thing or two about having fun. Our entrepreneurial environment gets our adrenaline pumping and beats the regular 9-5 job. We’re in it together, always. Gain hands-on experience and be part of the future.
 


 Neo Financial is an equal opportunity employer. We are excited to meet with and hire the top talent out there. We appreciate your interest in working with us; however, only those applicants selected for interviews will be contacted. Successful candidates for this position will be required to undergo a security screening, including a criminal records check and may require a credit check.",Full-time,,True,python,,,r,,,,,sql,,,,AB
Manager Data Analyst (Adobe Implementation),Publicis Sapient,"Toronto, ON",2022-06-23,"Company Description
  Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. United by our core values and our purpose of helping people thrive in the brave pursuit of next, our 20,000+ people in 53 offices around the world combine experience across technology, data sciences, consulting and customer obsession to accelerate our clients’ businesses through designing the products and services their customers truly value.



 Job Description
  Your Impact:  You will function as part of a world class Data Analytics team working directly with retail clients in NA & Canada. The role will focus on supporting data collection, reporting and experimentation practices of the client to drive incremental project initiatives through thought leadership.
 Must Have Skills:

Leads initiatives focused on analytics implementation, customization, automation of data collection processes. Develops cohesive measurement strategies and planning that ensures data collection aligns to client’s priorities. Recommends processes for integrating platforms ensuring free flow marketing data between systems.
Have solid analytics implementation experience across the life cycle and digital platforms (including web, responsive and native apps) using Adobe/Google Analytics especially for big retail client’s having complex eco-systems (multiple sites/apps, 100s of custom tags, multiple implementation techniques for main site/syndicate sites etc.)
Works as part of technical analytics team for data framework implementations using (Adobe/Google Analytics, Adobe Target, Google Optimize, Adobe DTM (Adobe Launch), Adobe Mobile SDK)
Design, develop and implement technical tagging requirements for company web, mobile and app platforms. Be able to convert SDR to exact JS code to be added on page or user actions on page.
Develop and perform code modifications, testing and deployment when appropriate
Enhance requirements for digital data layers (event based) within company Tag Management solution (Ensighten, Signal Adobe Dynamic Tag Manager)
Ability to write custom scripting, JavaScript, jquery or other coding languages in web environments and tag management tools to accommodate custom tracking requirements
Create and maintain Adobe Analytics JavaScript tags and plugins. Ability to troubleshoot scripting issues on the digital platforms using browser’s console and other tools is a must
Participate in clients' QA and deployment processes (Agile methodology, etc.). Hands-on experience with one or more web analytics tools such as Omniture SiteCatalyst and debugging tools like Charles, HTTPWatch or WASP
Thorough knowledge of Analytics Workspace, reporting and admin console in Adobe Analytics. Must be comfortable with advanced segmentation capabilities within Adobe/Google Analytics.

 Good to Have Skills:

Experience with implementing AEP (Adobe Experience Platform)
Experience with implementing GA4 (Google Analytics 4)
Develop, design, and implement scripting for A/B multivariate testing technology (Adobe Target, Monetate, Optimizely
Configuring and setting up BI dashboards (Tableau / Looker / Power BI)
Experience with Google Big Query and creating data ingestion pipelines from multiple online and offline sources
Experience working with Adobe IO (using APIs to connect to Adobe suite of products programmatically like Adobe Analytics 2.0) through Web UI’s (like Swagger) or API clients like Postman


 Requirements


Bachelor's Degree in Computer Science, Information Systems or related course of study required or equivalent work experience. Related Master's Degree a plus



5+ years working in analytics, including experience working with tag management systems implementing advertising and tracking pixels, 3+ years digital analytics development experience, 1+ year managing a team of analysts / developers
Excellent understanding of JavaScript, HTML, jQuery, JSON, and DOM manipulation, strong tag management skills, excellent understanding of cloud-based information systems, solid debugging and troubleshooting skills, strong understanding of marketing technology (Martech) landscape, experience leveraging APIs for reporting automation. Foundational Knowledge of Google Big Query, Node.js, CSS, Python, Domo, machine learning concepts.





 Additional Information
  Pay Range: $90,000 - $1,75,000
 The range shown represents a grouping of relevant ranges currently in use at Publicis Sapient. Actual range for this position may differ, depending on location and specific skillset required for the work itself.
 As part of our dedication to an inclusive and diverse workforce, Publicis Sapient is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at hiring@publicissapient.com or you may call us at +1-617-621-0200.",Full-time,,True,python,powerbi,tableau,,,,,,,excel,java,,ON
Market Data Analyst,S4 Market Data,"Toronto, ON",2022-06-23,"Summary:
 **PLEASE NOTE - This is NOT a technical role for a Data Analyst, Data Scientist or someone with an IT background. Candidates MUST have experience in the Market Data realm and be able to administer Market Data contracts. Please read the description before you apply**
 The Market Data Analyst at S4 Market Data will oversee client projects and be responsible for the overall service delivery of our managed services with respective clients. This position will manage market data service inquiries and projects from clients as well as manage a market data administrator within the projects to ensure administrative tasks are being completed in an accurate and timely manner. The ideal candidate will have market data vendor management and administrative experience; sourcing and negotiating contracts, managing procurement/sourcing requests throughout the spend life cycle, speaking with internal business units and stakeholders (legal, finance, IT, etc.) to procure goods/services for our clients. The candidate needs to be located in the US, this is a fully remote position.
 Responsibilities: 

Handle day-to-day demand management or vendor management and administrative inquiries from internal business units, including but not limited to; data/sourcing requests, contract negotiation, entitlement administration, exchange reporting, moves/adds/changes requests, inventory management, procurement/legal approval, expense allocation, invoices reconciliation, and spend reporting. 
Interact with the client’s various internal stakeholders and business units; technology, legal, accounting/finance, human resources, and investment managers. 
Oversee the inventory management process of leavers/joiners, ensure current inventory is accurate and up-to-date. Oversee the reconciliation invoices and validation of monthly allocations/expenses.
 Conduct monthly/quarterly exchange reporting and ensure exchange policies and data compliance across the client’s end-users and applications. Administer their datafeeds (EMRS, DACS, Etc.)
 Review spend and enact cost savings and avoidance initiatives. Provide respective business units with an overview for their costs; understand their products/services and respond to any inquires as needed. Maintain reports on costs and identify ways to consolidate spend.
 Conducts regular internal team meetings to report on client SLA’s and to ensure all client service deliverables are being met and completed.

 Qualifications: 

Bachelor’s degree in MIS, Business, or related degree and 3-5 years of relevant experience in financial services or market data. Relevant work experience in consulting is preferred.
 Experience working with Market Data vendors such as Bloomberg, FactSet, Exchanges (NYSE, ICE, etc.). 
Knowledge of FITS and MDSL inventory systems is preferred.
 Excellent communication and project management skills and experience in working closely with internal client business units and senior stakeholders.
 An entrepreneurial and self-regulating mind-set. Display a high level of time management skills to manage multiple and elaborate requests simultaneously.
 Have high energy and be a self-starter with the ability to work independently and as part of a team.

 
GCOmVLUNQE",,Remote,True,,,,,,,,,,excel,,,ON
Technical Data Analyst,Teranet,"Toronto, ON",2022-06-23,"Contract Technical Data Analyst – 6 months
 


   Who We Are
 


   Teranet is an international leader and pioneer in electronic land registration systems and commerce. As the exclusive provider of Ontario’s online property search and registration, we developed, own and operate the Ontario Electronic Land Registration System – one of the most advanced, secure and sophisticated land registration systems in the world. In Manitoba, Teranet owns and operates The Property Registry, providing certification of titles to land, maintains land records and offers reliable information of financial interests in personal property to the public. Teranet also offers a complementary suite of innovative solutions for a number of key industries, including real estate, financial services, law, and government and utilities.
 


   To learn more about who we are visit our website: 
  
   www.teranet.ca
  



   About the Role
 


   Teranet is currently looking for a Contract Seasoned Technical Data Analyst. You will analyze client data to assist in the transformation of data to fit the Catalyst software underlying data structures. You will support our Data Migration Specialists to design scripts to perform data migration between the client legacy system and the Catalyst data structures. You will document the data mappings between the two systems for client review and sign-off.
 


   What will you be doing
 




     Responsible for profiling data across various systems and identify and analyze potential data conflicts.
   


     Work with the technology teams, business and product teams to gather all required information to ensure the right data is being analyzed.
   


     Validate Data Cleansing rules and ensure consistency in instances where across multiple systems are consolidated.
   


     Analyze client’s legacy system data structures, data items and reference data.
   


     Analyze client’s legacy system existing data validation rules.
   


     Create documentation that describes the mappings of customer’s existing data items onto Catalyst data structures.
   


     Create detailed design documentation describing data migration processes including collection of source data, data transfer mechanism and data upload mechanism.
   


     Support the execution of data migrations incrementally and provide resulting data to the business and consultants.
   


     Maintain appropriate levels of data security and privacy relating to customer data including adherence to any specified standards as required by the client.
   


     Draft and maintain documentation for data migration per the prescribed data migration framework
   



   About You
 




     You have a Bachelor’s Degree in Computer Science, Engineering or a related discipline
   


     You have experience with SQL, data migration scripts and libraries
   


     Strong client facing experience and communication skills
   


     Experience with Oracle is an asset
   



   Why Teranet
 


   We are a Canadian company and a global Innovator in electronic services and solutions. We operate one of the most advanced and secure registration systems in the world. We are the market leader in registry, with best-in-class solutions for real estate, financial services, law, and government. We have a fun and collaborative culture, and are one of Canada’s top companies for employee engagement. We are a talent-driven organization and invest in our people and their career growth. We improve the lives and businesses of our clients.
 


   What We Offer
 




     A competitive and comprehensive Total Rewards Package
   


     A company with stability and strong government partnerships
   


     An Opportunity to be part of an organization that is in growth mode through numerous acquisitions
   


     An Opportunity to contribute to our teams and grow the Teranet brand
   


     An environment where you will be challenged and supported on a daily basis
   



   What’s It Like At Teranet
 




     We operate through our core values:
   


     We have received numerous awards for our technologies and our successful partnership with the Government of Ontario.
   


     We have been recognized as one of Greater Toronto’s Top Employers for 4 consecutive years.
   


     We have a rich history, and we are pleased to make you a part of our exciting future
   



 At Teranet, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation during the recruitment and selection process, please let us know and we will work with you to meet your needs.



   Come As You Are. We Like You that Way!",Full-time,,True,,,,,,,,,sql,,,,ON
Planning Data Analyst (Planner Specialist),City of Kelowna,"Kelowna, BC",2022-06-23,"Posting NumberCK52305P
Position TitlePlanning Data Analyst (Planner Specialist)
Job ClassificationPlanner Specialist
No. of Staff Required1
Job TypeFull Time
DivisionPlanning & Development Services
DepartmentPolicy and Planning
Job Summary/Basic FunctionThe City of Kelowna is seeking a Planning Data Analyst with a specialization in GIS and data analytics. This role will conduct research and analysis of housing market trends, economic factors, growth strategy forecasting, housing affordability, and other factors influencing Kelowna’s long-range policies. We are looking for a candidate who will use innovative data science approaches and methodologies/techniques to build workflows and/or models for advanced Geo-spatial analysis. This position will analyze statistics and generates projections in support of specific aspects of planning such as land use, housing, labour force and population; identifies data trends; interprets and explains data and presents in a suitable format.
We are looking for someone who has strong experience in dealing with big data using multiple data sources and regression analysis, spatial/non-spatial econometric modeling, and GIS. Someone who understands municipal planning, data analytics and future social, environmental, and economic trends and enjoys working in a sophisticated technical environment utilizing various modeling and programming tools.
We are looking for positive team players with related experience, great communication skills and a proactive and innovative attitude. A university degree in Planning, Urban Geography, Architecture, or other related discipline and holds professional credibility or is eligible for CIP membership with AIBC.
Duties
Qualifications

University Degree in Planning, Urban Geography, Architecture or other related discipline
Professional Credibility (Eligible for CIP membership of AIBC)
Experience
Communication Excellence
Teamwork
Problem Solving
Project Management
Computer Literacy

Posting Date06/22/2022
Closing Date07/15/2022
Special Instructions to ApplicantsThe City of Kelowna has a COVID vaccination policy that requires all staff to be fully vaccinated as a condition of hire and ongoing employment. Candidates who are unable to be vaccinated due to medical or religious grounds (or some other reason protected by the BC Human Rights Code) can request an accommodation.
Please attach copies of your education/membership(s) as “other documents”.
Please ensure that you have a resume and Driver’s Abstract to attach, as these are required documents when applying to this posting. If you do not currently possess a Driver’s Licence, or are waiting to receive a Driver’s Abstract, you are still eligible to apply. Please upload a word document stating “Driver’s Abstract is on order” or “Do not possess a Driver’s Licence”.
Testing may be required. If no fully qualified candidates apply, those not fully qualified may be considered for a training opportunity. Training rates will apply.
Employee GroupCUPE
Pay Rate$45.87 per hour
Days of WorkM-F
Hours of Work8-4
Standard Hours per Day7.5
Work LocationCITY HALL
Job Type: Full-time
Salary: $45.87 per hour",,,True,,,,,,,,,,excel,,,BC
